,360X23,360X45,360X46,360X57,360X103,360X109,360X115,360X116,360X118,360X131,360X132,360X155,360X156,360X164,360X185,360X197,360X228,360X229,360X251,360X261,360X262,360X284,360X294,360X306,360X335,360X358,360X369,360X391,360X401,360X413,360X454,360X476,360X487,360X509,360X582,360X583,360X594,360X604,360X635,360X659,360X660,360X668,360X676,360X702,360X745,360X778,360X789,360X1005,360X1019,360X1030,360X1203,360X1247,360X1296,TOOL
0,4.5,32.2,0.12,0.22,166.1,3.85,74.51,22.615,22.709,4.15,22.228,80.45,22.007,21.624,4.08,22.011,74.67,21.623,22.206,4.3,22.33,22.794,75.58,22.727,4.13,23.342,23.349,23.57,8.05,23.552,22.76,22.517,22.379,22.018,1.203,21.954,22.48,23.255,81.0,3.88,23.599,23.826,23.445,78.7,4.16,4.04,3.91,163.9,173.7,20.11,129,4.76,145.4,D
1,4.5,32.2,0.12,0.22,166.4,3.85,74.51,22.712,22.823,4.14,22.339,80.44,22.174,21.752,4.07,21.99,74.67,21.552,22.321,4.3,22.457,22.399,75.59,22.68,4.13,23.388,23.371,23.681,8.05,23.505,22.758,22.483,22.375,22.116,1.198,21.974,22.51,23.229,81.0,3.88,23.702,23.911,23.524,78.7,4.16,4.04,3.91,163.9,173.7,20.11,128,4.76,145.4,D
2,4.46,34.2,0.11,0.2,156.4,3.81,74.1,21.377,21.465,4.11,20.736,80.02,20.473,20.222,4.03,20.553,74.25,20.043,20.574,4.26,20.8,21.022,75.17,21.119,4.09,21.754,21.671,21.974,8.05,21.94,21.282,20.845,20.813,20.58,1.213,20.678,21.059,21.598,81.05,3.85,21.916,22.322,22.106,78.29,4.12,4.0,3.88,163.9,173.7,20.1,130,4.77,145.4,D
3,4.49,34.3,0.09,0.19,155.6,3.9,76.36,21.664,21.686,4.1,20.921,80.92,20.753,20.523,4.09,20.86,76.47,20.57,21.02,4.28,21.243,21.256,77.1,21.459,4.16,21.925,21.879,22.117,8.05,22.173,21.21,20.72,20.668,20.32,1.238,20.639,21.003,21.433,81.66,3.97,21.945,22.335,22.262,79.44,4.17,4.05,3.88,163.9,173.6,20.03,130,4.8,145.3,D
4,4.5,33.7,0.1,0.2,159.1,3.91,76.47,21.908,21.982,4.11,21.337,81.05,21.17,20.89,4.09,21.257,76.55,20.877,21.422,4.29,21.692,21.722,77.24,21.962,4.17,22.486,22.471,22.659,8.05,22.669,21.823,21.256,21.112,20.773,1.236,21.051,21.476,21.9,81.67,3.98,22.453,22.843,22.645,79.57,4.18,4.06,3.88,163.9,173.6,20.06,129,4.8,145.3,D
5,4.46,34.3,0.09,0.17,155.8,3.85,76.01,21.81,21.837,4.07,21.046,80.66,20.763,20.595,4.06,20.781,76.12,20.491,20.744,4.24,20.951,20.876,76.63,20.971,4.11,21.4,21.387,21.821,8.05,22.022,21.439,21.106,20.974,20.806,1.375,21.628,21.74,21.86,82.3,3.94,21.652,22.207,22.265,78.94,4.15,4.03,3.83,163.9,173.6,19.99,129,4.86,145.3,D
6,4.5,33.3,0.09,0.18,161.0,3.88,76.33,23.039,23.062,4.1,22.455,81.0,22.201,21.969,4.09,22.196,76.46,21.728,22.164,4.26,22.441,22.255,76.97,22.347,4.14,22.762,22.739,23.2,8.05,23.437,22.793,22.458,22.352,22.206,1.361,22.846,23.067,23.303,82.21,3.97,23.166,23.653,23.588,79.26,4.18,4.05,3.86,163.9,173.6,19.97,127,4.86,145.3,D
7,4.5,33.6,0.1,0.2,159.2,3.88,75.79,21.738,21.784,4.09,21.049,80.56,20.914,20.729,4.08,21.1,75.82,20.568,21.28,4.29,21.528,21.532,76.62,21.83,4.14,22.285,22.254,22.543,8.05,22.562,21.639,21.19,21.163,20.782,1.216,20.949,21.32,21.777,81.49,3.94,21.964,22.403,22.273,78.96,4.15,4.03,3.87,163.9,173.6,20.1,130,4.79,145.3,D
8,4.5,33.9,0.1,0.2,157.6,3.88,75.79,21.785,21.867,4.09,21.002,80.56,20.897,20.697,4.07,21.134,75.82,20.635,21.253,4.29,21.496,21.517,76.62,21.782,4.13,22.242,22.221,22.542,8.05,22.656,21.696,21.213,21.169,20.831,1.214,20.925,21.282,21.697,81.49,3.94,22.014,22.528,22.409,78.96,4.15,4.03,3.86,163.9,173.6,20.1,130,4.79,145.3,D
9,4.5,34.1,0.1,0.2,157.1,3.88,75.77,21.691,21.738,4.09,20.968,80.54,20.845,20.659,4.07,20.934,75.8,20.431,21.158,4.28,21.411,21.446,76.59,21.696,4.13,22.265,22.266,22.54,8.05,22.445,21.587,21.108,21.006,20.74,1.211,20.975,21.341,21.749,81.48,3.94,21.936,22.38,22.264,78.93,4.15,4.03,3.86,163.9,173.7,20.1,130,4.79,145.3,D
